id,cluster,observacio,name,elegir,geometry
26,127,NA,9,izquierda,"c(-89.8098062357356, 14.7410523046407)"
29,127,NA,10,derecha,"c(-89.8098860961241, 14.7418908201321)"
33,127,NA,11,izquierda,"c(-89.8116829548648, 14.7410026555959)"
35,127,NA,12,izquierda,"c(-89.8105934309934, 14.7409585231021)"
37,127,NA,13,derecha,"c(-89.8080036726813, 14.7416536088403)"
39,127,NA,14,derecha,"c(-89.8082603667872, 14.7421280311654)"
45,127,NA,15,izquierda,"c(-89.8072735205581, 14.7432147853863)"
47,127,NA,16,izquierda,"c(-89.8121450042554, 14.7419018532091)"
48,127,NA,17,derecha,"c(-89.8022252031436, 14.7430823892232)"
50,127,NA,18,izquierda,"c(-89.8038851583613, 14.7431541038216)"
51,127,NA,19,izquierda,"c(-89.8040734007056, 14.7431982358704)"
55,127,NA,20,derecha,"c(-89.8055793394598, 14.7414163972901)"
1,137,NA,1,izquierda,"c(-89.9144728036595, 14.7545818905584)"
2,137,NA,2,derecha,"c(-89.9143644217037, 14.7549404443685)"
4,137,NA,3,derecha,"c(-89.9149861918711, 14.7557899387293)"
7,137,NA,4,izquierda,"c(-89.9165948082676, 14.7558781976934)"
8,137,NA,5,derecha,"c(-89.9166689643427, 14.7562919111105)"
9,137,NA,6,izquierda,"c(-89.9172508043159, 14.755850616771)"
10,137,NA,7,derecha,"c(-89.9177470795871, 14.7561098773039)"
14,137,NA,8,izquierda,"c(-89.9180779297679, 14.7562919111105)"
17,137,NA,9,derecha,"c(-89.9182661721122, 14.7568931732072)"
18,137,NA,10,derecha,"c(-89.918066521141, 14.7572296586094)"
19,137,NA,11,izquierda,"c(-89.9186939956219, 14.7571027871254)"
26,137,NA,12,izquierda,"c(-89.9177984184083, 14.7575054659279)"
30,137,NA,13,derecha,"c(-89.9193328787298, 14.7591272058865)"
31,137,NA,14,izquierda,"c(-89.9190476630567, 14.7592099473969)"
32,137,NA,15,derecha,"c(-89.9190704803105, 14.7595960740292)"
33,137,NA,16,derecha,"c(-89.9190590716836, 14.7597229440588)"
36,137,NA,17,derecha,"c(-89.9191617493259, 14.7600152964538)"
38,137,NA,18,derecha,"c(-89.9192929485356, 14.760346260955)"
39,137,NA,19,derecha,"c(-89.9196352073433, 14.7602911002398)"
